0	1	2	3	4
-0.16265766	9.382439	0.69498754	6.648061	6.2013874
-1.1927562	-7.5886664	0.8647494	9.36426	9.386921
0.8810414	9.883251	-1.4299992	6.431092	5.46717
-2.065253	8.042018	0.8280708	8.219704	5.9929714
-0.7723423	8.644488	0.49017388	7.279161	9.068228
-1.1647816	9.340192	-0.3288831	7.1643496	5.4432206
0.55602145	10.32461	0.013280685	9.492589	11.460375
-2.005057	7.9999456	1.0022537	8.0682125	6.10307
-1.9883573	7.999298	1.000224	8.081618	6.1205945
-1.992797	7.9971924	0.9979166	8.081449	6.1151457
0.09126495	10.916712	0.041749287	9.245863	10.086824
2.209305	10.83222	-0.77913517	7.6966867	8.529966
-1.0140911	8.028665	1.5146413	7.229651	6.613649
-0.75130016	8.770451	1.5750582	7.0696006	5.267943
-1.0148269	8.0214815	1.4819572	7.2069325	6.6602087
-1.4660281	9.021375	-0.6316252	8.655125	5.2744074
0.2470628	9.959882	-0.74842465	6.9711537	5.98375
0.20137267	9.731692	0.32517815	6.628763	6.5441236
1.9174939	10.840432	-0.42119044	8.283982	8.143499
0.27822617	10.4459095	-0.21963872	7.3273764	6.8556895
-0.48083064	10.785343	0.8495715	8.092362	8.890407
1.6065848	10.808132	-0.08567942	9.367855	7.4749985
0.7788768	10.298943	-0.06870662	9.439497	11.364945
2.0521412	11.162856	0.25224748	8.557331	11.621378
1.9561979	11.250292	-0.6391067	7.8673043	9.096803
2.0883772	11.1058	0.13718426	8.626176	11.447558
2.1263685	11.1394415	0.12210305	8.636074	11.44388
-1.178243	9.825333	-0.20860782	6.381571	7.628402
-0.27705202	9.237139	0.223901	7.038056	13.922746
0.17837705	10.556083	0.22171435	8.856026	8.567841
-1.9272095	9.029975	0.6114371	8.361431	7.6548195
-1.0263497	10.489546	0.38535082	7.335672	8.892819
-0.979101	10.17287	0.10073794	7.0935583	8.32236
-1.2668875	9.066154	-0.51022357	8.150909	8.395784
-1.2693964	9.051351	-0.4407567	8.138455	8.431859
-0.96492136	9.077183	-0.011628903	8.374193	9.461509
1.9708074	11.235278	-0.66167974	7.8384132	9.074155
-0.13336939	10.375196	-0.33340657	6.8852596	6.5407596
-0.43843827	8.888321	1.6995114	10.013367	9.777996
1.8820343	10.789832	-0.08624013	9.161613	6.6500797
0.011470864	10.383624	-0.32141098	6.9769897	6.6664844
0.067278594	10.330504	-0.23001474	7.0392594	6.7873945
0.25477064	10.63679	-0.04543204	9.240363	10.603554
-1.6343064	8.026555	0.90440184	8.347185	5.9066415
-1.0244862	7.969105	1.2477791	7.2860684	7.1702313
-1.0217208	7.9797373	1.2560891	7.280013	7.157231
-1.6530575	8.004906	0.9138772	8.361043	5.886925
-1.7362839	6.7733326	1.8711877	10.323128	4.882766
-1.0229295	7.9621935	1.3056874	7.2630997	7.123367
-0.18794522	9.389902	0.6844463	6.5800176	6.1623845
-1.0526907	7.9577136	1.4649229	7.2118287	6.7652116
-1.148173	9.929031	-0.27677107	6.1399074	7.457826
-1.6717063	7.020162	2.5175135	10.249406	5.343431
-1.6422799	6.9637885	2.47056	10.247899	5.306015
1.3441944	10.795547	-0.4865114	8.931567	9.233262
-1.2159828	-7.6014323	0.87048674	9.382293	9.363243
0.13535829	9.969927	0.14148949	6.79876	6.6703825
1.2924647	10.969141	-0.38961825	8.256766	9.648459
-1.1693898	9.855229	-0.21447828	6.24151	7.4128094
1.0207429	9.961415	-0.20414117	10.231492	12.985041
2.3928695	10.469317	-0.79999644	10.208097	13.143812
1.5806578	10.500217	0.5187587	9.371512	5.8899965
-0.8285684	7.3128157	1.7463973	8.811702	5.7617965
-0.054020405	9.509852	0.56207347	6.5801363	6.4613767
-0.7357737	10.904034	-0.56188565	8.787863	13.385531
-0.92839164	7.9957643	1.8435997	6.887095	5.9814014
-1.0515643	7.97613	1.4734414	7.261453	6.794743
-1.298988	8.5917425	1.7093838	7.819332	8.145936
1.2724229	10.946458	-0.3773618	8.274028	9.667841
0.14176995	9.506293	0.14106953	8.713161	10.76199
-0.94316536	9.138084	-0.1322472	7.441856	9.531041
-1.029063	7.988751	1.3352685	7.2561235	6.9543557
1.871156	10.821143	-0.60071945	8.764763	8.427352
-0.38009006	9.508724	0.12983455	6.893057	6.2956796
1.9772291	11.234081	-0.6114397	8.2432165	8.906976
2.2489872	11.3177805	-0.64693725	7.737514	9.515514
2.0428472	10.902272	0.13127036	8.499591	11.757043
-1.2427872	8.622102	1.577954	7.734595	8.31603
-0.73041224	10.849487	-0.5423632	8.734234	13.387457
1.8242208	10.819881	-0.71881455	8.097059	9.062287
-0.16997278	10.359492	-0.32029635	6.87335	6.520811
-2.0957544	7.958944	0.895929	8.482687	5.9233184
-0.97026855	8.86263	-0.013469849	7.9704895	10.096207
-1.9893204	7.9789653	1.0224832	8.155028	6.12167
-0.7416543	9.098121	1.7379489	6.6783905	6.5934763
-2.394241	8.934688	0.6516575	8.647863	7.88444
-2.385627	8.940577	0.64792854	8.644519	7.876466
1.0306399	10.906226	-0.3037228	9.4116335	12.096109
2.0667572	10.159097	-0.6190131	10.269292	13.044978
1.1331201	10.952182	0.43931758	8.763874	12.122239
1.2426769	10.961561	0.38876164	8.698575	12.004446
-1.4311659	9.582416	0.6395886	7.1058846	6.050749
-1.0659425	9.252525	-0.4356674	7.8593826	7.507078
-1.4713488	8.64477	1.5623182	7.405554	5.2166595
-1.5540739	8.521383	0.20635234	7.917837	6.301894
-1.8059148	9.069758	0.64651644	8.296838	7.49876
1.8265659	11.001395	-0.6007248	8.317344	7.886699
-0.56476504	11.043636	-0.45192462	8.499599	9.456505
-0.64493376	11.141443	-0.459859	8.540863	9.455931
